Dates, Index, Long Short Equity, Distressed Debt, Large, Arbitrage, Medium, Billion Dollar, CTA/Managed Futures, Multi-Strategy, Small, Fixed Income, Event Driven, Macro, Relative Value, Top 50, SPY
2003-08-29,159.004802294083,153.081558522101,168.674628668666,136.863493938403,148.645689689452,139.736681966831,146.12639379824802,176.200828365857,163.088631751179,176.043238910615,154.53227779385,150.792282552763,159.21361560341498,164.72661126488995,,72.35501023402625
2003-09-30,161.12463054594102,154.78084631567802,173.30943224674598,137.812968030683,150.545306587766,141.738177936017,147.330677290708,177.876394015979,165.791735715928,179.21289539231395,156.473575569049,152.94873546944999,162.867937706157,166.946924776185,,71.56585504113106
2003-10-31,165.327964943477,159.68020366993,178.358813095356,140.33801828103,152.530933268153,145.010997371704,150.17740138960198,183.30520432177101,169.602167508893,184.844455852066,157.970886577733,156.124063210539,165.233566837568,171.906907976399,,75.39657089243644
2003-11-28,166.951860684946,161.705408155606,181.180072675074,140.560400195154,153.675213305894,145.642456826374,150.920106892331,183.213509445867,171.625487926353,186.34004790770598,159.326190368911,158.385814970441,165.986396322622,174.409203915358,,76.2199978550691
2003-12-31,170.653887657452,165.00402240798002,185.20962407801,143.991828423111,154.905311599785,148.76823512449604,154.42872581575898,189.077716980466,175.811454197611,191.08846409208198,161.734129450798,161.654418453755,171.155135139593,177.80291551448795,,80.05482571068319
2004-01-30,173.744264649176,168.679404405491,192.3988054102,146.109252414294,156.806775754803,150.953910948788,156.43220219072902,191.00120360584305,178.499814685747,194.50426202851398,163.792225458878,166.051513609099,173.02500898237702,180.853844577946,,81.63752932843369
2004-02-27,176.73988303349,171.165627361805,194.662339097409,148.61333869838,157.94155640979798,153.202712747523,160.38885312541902,199.010817918271,181.035999998758,198.641051244888,164.691913530751,168.21326514577,175.09352141598495,181.88221755370705,,82.7453914578697
2004-03-31,178.115913199037,172.45597430410598,195.267834459165,149.51117958588802,158.820945963634,154.719924988489,161.95120477132602,200.14457493081198,183.153502676558,200.91846957030398,165.903398529788,168.746283548459,177.11756601014702,182.70931703720402,,81.64936369203565
2004-04-30,175.63754518212795,169.624503417536,197.48869930645,147.180985109216,158.677417596419,152.852259695221,158.273845964469,193.834987053379,181.545461726936,198.139889106091,165.951519880805,168.790889356387,173.89903420588,181.426246088198,,80.10445859078648
2004-05-28,175.053939693627,169.059421548807,196.994754616398,145.622643590462,158.594198001043,151.461153059571,156.935920044323,192.380520185202,181.30127227781898,197.171286770694,165.51151981129,168.40836702072,173.476678165246,181.38683178960602,,81.47612745875625
2004-06-30,175.695804538881,170.737180921623,201.15847538645198,145.744042092206,158.580952474063,151.836039158573,156.598420553278,188.563208542257,182.409613263689,197.74188981248005,166.38759755966,170.631719108287,173.005894561334,183.16715979160702,,82.9835532748922
2004-07-30,174.80870190788897,168.575298239835,201.146024675466,144.920458201662,158.716816481992,151.354096511629,155.029996112135,188.07905849839298,183.400382079551,197.178882807433,167.505551018928,170.026958359816,172.67913725537602,183.342305467959,,80.30992199277001
2004-08-31,175.054882381191,168.535699954294,203.132671261243,145.060722274276,159.334800924371,151.628579450583,155.21527305969101,187.517088682304,184.53455538910998,197.75661453021095,169.070362088447,171.068291507395,172.28815012649503,183.45431903048697,,80.50553482620626
2004-09-30,178.090331883493,172.515009927109,205.85620767679,146.610812924548,159.696739480122,153.449704559305,156.886056725053,191.186560790887,187.26757622967202,201.503552603016,170.440930938917,173.379373706562,174.063416296492,185.63391577802201,,81.31359307772577
2004-10-29,180.069146902707,174.22645688351398,209.485660224216,147.981678494068,160.380325946895,154.944358198301,159.364465772188,194.94834688015598,189.414230513293,203.55186464545798,172.13005585828705,175.30939463185,175.60783354103802,186.32649133477005,,82.3612952919983
2004-11-30,185.43600176203896,179.989212522511,216.173760340831,151.680235783077,161.891954163241,159.05658843189102,163.826148883554,202.593037793288,194.60297361502202,209.865889703857,174.394448266913,181.05054623907398,181.148951408227,190.816691803074,,86.02783500084861
2004-12-31,188.094013427912,183.289149014877,222.528933775453,153.98772679814698,163.23102991802,161.132763278363,166.380193452509,203.10886389164295,197.939853703069,212.67284419996201,176.47333201990105,185.65728691054,182.390787834108,193.130203358644,,88.61904377886052
2005-01-31,187.75857523326096,183.66443831233897,223.928894732569,153.691495509918,163.233281052426,161.370706665493,164.824602732306,198.897221105288,197.917346431335,211.88989833778496,177.357160715686,186.174601862949,181.949548288865,193.56129705516102,,86.63216282077721
2005-02-28,191.104500192775,187.946157599781,227.36935329382302,155.773100711646,163.87777599818997,164.14770698376302,167.11404757499,200.508736329605,202.415743959692,215.50066157240397,179.15750220321098,189.744182276297,185.41230458123403,196.206962644693,,88.44307887728755
2005-03-31,190.03707627717202,186.136018671308,228.444963148103,155.304498314527,163.527056129329,163.274624819845,166.508819262562,199.85651623860198,201.249941882565,214.169683556963,178.94539114541405,189.81514568394695,184.467620541818,196.059931972758,,86.82522180310856
